Dataset,F1 Score (minor class),ROC AUC,PR AUC
38_sick_cleaned.csv,0.7878712350186481,0.9908717816003368,0.8347604911100447
311_oil_spill_cleaned.csv,0.4325869987634693,0.9087765036621404,0.5219743456870692
312_scene_cleaned.csv,0.7039637318170069,0.9506144218000108,0.8629811806977278
316_yeast_ml8_cleaned.csv,0.1204325728915892,0.8483876956917685,0.0967965139462249
450_analcatdata_lawsuit_cleaned.csv,0.9267399267399268,0.992248103697968,0.8982804232804232
463_backache_cleaned.csv,0.4022556390977443,0.7038678006815262,0.3300711717814611
757_meta_cleaned.csv,0.4512429971988795,0.1484997655883731,0.0619650681473149
764_analcatdata_apnea3_cleaned.csv,0.6452017893492279,0.0981876090939302,0.0756989954414546
765_analcatdata_apnea2_cleaned.csv,0.7332067760321337,0.0647323074330373,0.0804342888678417
767_analcatdata_apnea1_cleaned.csv,0.6119391916944753,0.0712876696572348,0.0761079153413038
865_analcatdata_neavote_cleaned.csv,0.1240981240981241,0.654121863799283,0.1250167788867479
867_visualizing_livestock_cleaned.csv,0.6093358395989975,0.1738095238095237,0.1318909194179456
875_analcatdata_chlamydia_cleaned.csv,0.7870370370370371,0.0220458553791887,0.1293889353982936
940_water-treatment_cleaned.csv,0.8486151840990549,0.9804425833508608,0.9097693680367452
947_arsenic-male-bladder_cleaned.csv,0.4143082520364468,0.1427824158349549,0.0294071439372277
949_arsenic-female-bladder_cleaned.csv,0.3885705059846036,0.2117138364779874,0.0914671321994021
950_arsenic-female-lung_cleaned.csv,0.5056022408963585,0.0656746031746031,0.0217013457568729
951_arsenic-male-lung_cleaned.csv,1.0,0.0,0.021912832245056
954_spectrometer_cleaned.csv,0.7893939393939394,0.9897429200472456,0.9318824289646968
958_segment_cleaned.csv,0.970342738468458,0.9992539026629936,0.9963099615622308
962_mfeat-morphological_cleaned.csv,0.9848481949727428,0.9987020704558018,0.993237843849992
966_analcatdata_halloffame_cleaned.csv,0.6208673288088127,0.0398923636502679,0.0502269673326183
968_analcatdata_birthday_cleaned.csv,0.659575345289631,0.9454604491369196,0.7138332912187632
971_mfeat-fourier_cleaned.csv,0.9849975582800012,0.9998744911804612,0.9989548945271688
976_JapaneseVowels_cleaned.csv,0.8547003572854184,0.99249121637718,0.964416206386024
978_mfeat-factors_cleaned.csv,0.9675231833647212,0.9940630182421228,0.9889495434529632
980_optdigits_cleaned.csv,0.86713316012424,0.9945494231615628,0.9691019844483328
984_analcatdata_draft_cleaned.csv,0.1417952314165498,0.5549649487149487,0.1395675734700857
987_collins_cleaned.csv,1.0,1.0,1.0
995_mfeat-zernike_cleaned.csv,0.9386241097251264,0.9942693100155786,0.9697085162631884
1000_hypothyroid_cleaned.csv,0.9192254376227924,0.0012012360274305,0.0410361806866917
1002_ipums_la_98-small_cleaned.csv,0.3741388607837719,0.1523012016479022,0.0609524425227526
1004_synthetic_control_cleaned.csv,1.0,1.0,1.0
1013_analcatdata_challenger_cleaned.csv,0.2086496434322521,0.7183462532299741,0.1667558282754361
1014_analcatdata_dmft_cleaned.csv,0.3119344510072986,0.5445587413014571,0.2175819200927782
1016_vowel_cleaned.csv,0.8656838190649667,0.997851851851852,0.9838167441306024
1018_ipums_la_99-small_cleaned.csv,0.3011249721181993,0.10526570614389,0.0350012418080905
1020_mfeat-karhunen_cleaned.csv,0.9178710982340754,0.9947296346550076,0.9713317186636296
1021_page-blocks_cleaned.csv,0.7771539761493925,0.0137011208656707,0.0540114006964288
1022_mfeat-pixel_cleaned.csv,0.9308028793080289,0.9947729785416352,0.9852505122592976
1023_soybean_cleaned.csv,0.7572229140722291,0.984188454050907,0.9252183847198192
1039_hiva_agnostic_cleaned.csv,0.2365940386814708,0.7664787414965986,0.2854977744510294
1045_kc1-top5_cleaned.csv,0.5,0.1227321524422973,0.0425168573218218
1049_pc4_cleaned.csv,0.5547674204045064,0.9286885623787696,0.617151262376496
1050_pc3_cleaned.csv,0.4011680047982285,0.8317371264710092,0.3369781612866346
1056_mc1_cleaned.csv,0.1045991169516767,0.9561711952736358,0.3637758034912867
1059_ar1_cleaned.csv,0.1851851851851852,0.7855618776671408,0.2809347715694464
1061_ar4_cleaned.csv,0.6157407407407408,0.8752052545155994,0.7262715294610088
1064_ar6_cleaned.csv,0.4205128205128205,0.6634646962233169,0.4629140612473945
1065_kc3_cleaned.csv,0.3534326514357236,0.8300629061967816,0.3897791830192548
